,State,County,Hospital,Number of Completed Surveys,FIPS
554,IL,Wabash,1.0,248.0,17185
555,IL,Warren,1.0,52.0,17187
556,IL,Washington,1.0,53.0,17189
557,IL,Wayne,1.0,92.0,17191
558,IL,Whiteside,2.0,556.0,17195
559,IL,Will,3.0,5206.0,17197
560,IL,Williamson,2.0,1184.0,17199
561,IL,Winnebago,3.0,5829.0,17201
562,IL,Woodford,1.0,73.0,17203
563,IN,Adams,1.0,338.0,18001
564,IN,Allen,6.0,7032.0,18003
565,IN,Bartholomew,1.0,701.0,18005
566,IN,Blackford,1.0,57.0,18009
567,IN,Boone,1.0,359.0,18011
568,IN,Cass,1.0,402.0,18017
569,IN,Clark,2.0,1383.0,18019
570,IN,Clay,1.0,63.0,18021
571,IN,Clinton,1.0,67.0,18023
572,IN,Daviess,1.0,314.0,18027
573,IN,De Kalb,1.0,373.0,18033
574,IN,Dearborn,1.0,359.0,18029
575,IN,Decatur,1.0,214.0,18031
576,IN,Delaware,1.0,537.0,18035
577,IN,Dubois,1.0,370.0,18037
578,IN,Elkhart,2.0,1448.0,18039
579,IN,Fayette,1.0,163.0,18041
580,IN,Floyd,2.0,1232.0,18043
581,IN,Fulton,1.0,196.0,18049
582,IN,Gibson,1.0,70.0,18051
583,IN,Grant,1.0,450.0,18053
584,IN,Greene,1.0,116.0,18055
585,IN,Hamilton,6.0,4322.0,18057
586,IN,Hancock,1.0,567.0,18059
587,IN,Harrison,1.0,254.0,18061
588,IN,Hendricks,2.0,942.0,18063
589,IN,Henry,1.0,473.0,18065
590,IN,Howard,2.0,1553.0,18067
591,IN,Huntington,1.0,339.0,18069
592,IN,Jackson,1.0,283.0,18071
593,IN,Jasper,1.0,104.0,18073
594,IN,Jay,1.0,269.0,18075
595,IN,Jefferson,1.0,493.0,18077
596,IN,Jennings,1.0,59.0,18079
597,IN,Johnson,1.0,337.0,18081
598,IN,Knox,1.0,504.0,18083
599,IN,Kosciusko,1.0,525.0,18085
600,IN,La Porte,2.0,1625.0,18091
601,IN,Lagrange,1.0,195.0,18087
602,IN,Lake,9.0,7553.0,18089
603,IN,Lawrence,2.0,317.0,18093
604,IN,Madison,3.0,1721.0,18095
605,IN,Marion,9.0,13044.0,18097
606,IN,Marshall,2.0,445.0,18099
607,IN,Miami,1.0,154.0,18103
608,IN,Monroe,2.0,834.0,18105
609,IN,Montgomery,1.0,200.0,18107
610,IN,Morgan,1.0,941.0,18109
611,IN,Noble,1.0,366.0,18113
612,IN,Orange,1.0,50.0,18117
613,IN,Perry,1.0,183.0,18123
614,IN,Porter,1.0,873.0,18127
615,IN,Pulaski,1.0,113.0,18131
616,IN,Putnam,1.0,152.0,18133
617,IN,Randolph,1.0,104.0,18135
618,IN,Ripley,1.0,399.0,18137
619,IN,Rush,1.0,110.0,18139
620,IN,Scott,1.0,173.0,18143
621,IN,Shelby,1.0,471.0,18145
622,IN,St Joseph,3.0,2648.0,18141
623,IN,Starke,1.0,110.0,18149
624,IN,Steuben,1.0,278.0,18151
625,IN,Sullivan,1.0,144.0,18153
626,IN,Tippecanoe,2.0,1694.0,18157
627,IN,Tipton,1.0,167.0,18159
628,IN,Vanderburgh,2.0,7879.0,18163
629,IN,Vermillion,1.0,131.0,18165
630,IN,Vigo,2.0,1385.0,18167
631,IN,Wabash,1.0,247.0,18169
632,IN,Warren,1.0,61.0,18171
633,IN,Warrick,3.0,1110.0,18173
634,IN,Wayne,1.0,1308.0,18177
635,IN,Wells,1.0,343.0,18179
636,IN,White,1.0,93.0,18181
637,IN,Whitley,1.0,360.0,18183
638,KS,Allen,1.0,79.0,20001
639,KS,Anderson,1.0,50.0,20003
640,KS,Atchison,1.0,195.0,20005
641,KS,Barton,3.0,545.0,20009
642,KS,Bourbon,1.0,194.0,20011
643,KS,Brown,2.0,102.0,20013
644,KS,Butler,2.0,830.0,20015
